text,vote
一只大黑乌鸦飞下来，落在她面前的路上，不停地发出尖锐的叫声。,-1
石壁上偶尔可以看到几只鸟儿飞过。,0
拉斯廷退役后仅有少量财物，开始了艰难的旅程。,-1
圣母玛利亚有一天把小女孩叫到面前，交给她十三把钥匙。,0
小鸭觉得非常悲哀，因为自己长得那么丑陋，而且成了全体鸡鸭的一个嘲笑对象。,-1
每当太陽照在她脸上的时候，她就想起哥哥们给她的吻。,1
镜子回答说：“是你，王后！你就是全国最漂亮的女人。”,1
“真美丽！真精致！真是好极了！”每人都随声附和着。,1
公主用项链奖励忠诚的动物，表现了对猎人和动物们的感激之情。,1
这样，钱就很容易花光了；他的钱就真的这样花光了。,-1
两位哥哥因嫉妒谋害弟弟，替换生命之水，情节紧张。,-1
在意大利的旅途中，旅客们被成群的蚊虫咬得流血。,-1
灰姑娘被迫在厨房劳作，每天早起干重活。,-1
看到白雪公主，她气得昏了过去，自此便一病不起，不久就在嫉妒、愤恨与痛苦的自我煎熬中死去了。,-1
这是一个大学生写的！,0
汤姆用智慧多次脱险，顺利逃离陌生人。,1
他感激命运，让他摆脱了那块沉重的石头，心情愉快。,1
叔父还教给他怎样在没有立足点的石崖上用肘来支持自己。,0
她每一步都像是在刀尖上行走。,-1
“你是一个诗人！”她说，“可能是我们的一个最大的诗人！,1
你是我的诗人——你永远是这样！,1
“我表示十二分地满意！”皇帝说。,1
少年被带到王宫，献上绿宝石小匣子。,0
裁缝失去双眼后依然顽强，坚持不放弃生命。,1
猎人使用龙的舌头和公主的手帕揭露礼仪官的谎言，得到国王的支持。,1
昨天有一个出色的宴会！,1
她还能唱歌，而且唱得那么温柔和甜蜜，从前没有任何人听到过。,1
国王对裁缝提出的苛刻任务使裁缝陷入困境，增加心理压力。,-1
“它一定死了，跟别的东西一起消灭了。”,-1
他们摆出两架织机来，装做是在工作的样子，可是他们的织机上什么东西也没有。,0
小伙子对那半截人说：“还得有半截才行。”,0
“现在是半夜了，一点也不错。”,0
圣彼得在旅途中不断考验拉斯廷的慷慨与诚信。,0
屠夫告诉他母牛已老，汉斯为无法挤奶而沮丧。,-1
鸟儿帮助灰姑娘拣碗豆，完成任务。,1
两只眼得到了女巫的帮助，学会召唤出美味的食物。,1
“你这个白痴，那不是你的鸽子，那是早晨的阳光照在烟囱上面。”继母叫道。,-1
“鼓手用双手紧紧地抓住老巫婆，把她扔进了火海。”,-1
真相揭露后，王子与公主团圆，二人欣喜地重归幸福生活。,1
少女最终成功打破邪恶公主的咒语，与王子重逢。,1
王后听到必须用孩子的性命救约翰时，脸色惨白。,-1
她一开口说话，嘴里就掉出金子来。,1
妻子愤怒地逼迫渔夫去实现不切实际的愿望。,-1
他成功获得国王的信任，赢得了皇宫裁缝的职位。,1
圣母把三个孩子交还给王后，让她重新获得幸福。,1
姑娘看到雪下面露出了红彤彤的草莓，高兴极了。,1
他特别喜欢这幢老房子，不论在太陽光里或在月光里都是这样。,1
拉斯廷最终通过机智的方法进入天堂，与圣彼得重逢，获得安宁。,1
他说它像一座雪山，上面有最华丽的大厅和图画。,1
小鸟（化身为男孩）展翅高飞，经历奇妙冒险，为家人带回珍贵礼物。,1
樵夫夫妻二人得偿所愿，生下了一个聪明健康的大拇指汤姆。,1
哥哥们因误会将老三驱赶出家门，兄弟情谊破裂。,-1
这些黑猫和黑狗拖着烧红的铁链，想弄灭火堆。,-1
他们用钻石笔在金板上写字。,0
国王将这可爱的姑娘带回王宫，并为她举行了盛大的婚礼。,1
王子和小公主将一道返回他的王国，开始幸福的新生活。,1
忠实的约翰终于复活，国王和他深情相拥。,1
樵夫和妻子非常穷，连面包都没有。,-1
不久以后，一朵美丽的大红花就长出来了。,1
皇帝在镜子面前转了转身子，扭了扭腰肢。,0
他的命运是：谁也不爱他。,-1
他曾经把他从桶里——大部分是熟菜店的桶里一一收集得来的抄本和印刷物拿给我看。,0
猎人和公主遭遇恶龙袭击，面临极大的危险与恐惧。,-1
红玫和白雪发现小矮人被困，开始尝试帮助他脱困。,1
少年与公主结婚，两人相亲相爱，公主对婚姻感到满意。,1
三儿子学成后，带回一根能自动打击不怀好意之人的神奇棍子，充满信心。,1
最终，城堡里又举行了一次婚宴，鼓手与公主幸福地团聚。,1
一根生命的线断了；周围发出一片哀悼的声音。,-1
小鸭认出这些美丽的动物，于是心里感到一种说不出的难过。,-1
她抬头向窗外望去，一不留神，针刺进了她的手指，红红的鲜血从针口流了出来。,-1
最小的那个孩子喊道：“你们看那只新天鹅！”,1
继母对前妻的孩子心生嫉妒，内心充满矛盾。,-1
汉斯扛着沉重的金子，感到疲惫和肩膀疼痛。,-1
渔夫描述海边景象时，提到暴风雨前的景象。,0
兄弟三人将宝物带回家，为亲友们展示宝物的神奇功能。,1
一群残废的乞丐聚集在旅馆门前，乞求施舍。,-1
海底生长着奇异的树木和植物。,0
他再也飞不起来了，也没有办法到他的新娘子那儿去,-1
浪涛卷起白色的泡沫，而风却把浪头截断。,0
玛杰丽心地善良，始终关心和怀念自己的哥哥。,1
男孩在庆典中因受伤而暴露身份，受到追击和伤害。,-1
比得变得像死一尸一一样惨白，并且坐了下来。,-1
小克劳斯爬到茅屋顶上，在那上面躺下，翻了个身，把自己舒舒服服地安顿下来。,1
小女儿细心照料小动物，为它们梳理羽毛并喂食。,1
小矮人们对她说：“我们送你三样礼物。”,1
小王子被迫逃亡，饱受冤屈，流亡生活孤独无助。,-1
在那颗明亮的晨星的光辉中，他的眼睛闪出光来。,1
他收集了许多值得一读再读的书或书中的散页。,1
公主感激地对鼓手说：“你既然肯为我付出一切，那么我就嫁给你为妻。”,1
灰姑娘的继母和姐姐们羞辱她，剥夺她的生活品质。,-1
这位新主人娶了一个太太。,0
森林中的巫婆对猎人下毒手，将他和动物变成石头。,-1
日子一天一天地过去，像一个节日。,1
小公主对青蛙的喊叫根本不予理睬，径直跑回家。,-1
国王对小伙子上下打量了一番，觉得他挺不错。,1
自然界的太陽、月亮和风为少女提供帮助与礼物，象征自然力量的庇护。,1
王后生下了一对双胞胎儿子，国王感到无比欣慰。,1
女孩带着任务走向山谷，面对无法完成的重建城堡工作。,-1
汉斯遇到磨刀人，谈论他一天的经历与交易。,0
国王高兴极了，他的妻子像以前一样健康强壮。,1
老人询问动物们是否愿意接受三个女儿留宿。,0
农妇不情愿地卖出少量果酱后离开。,-1
她们来到了一座大城市，她们直奔皇宫。,0
男孩在城市中遭遇排挤，只能从事最底层的工作。,-1
汤姆被狼吞入腹，经历了极大的恐慌与危险。,-1
拉斯廷老兄慷慨地将自己的干粮和金币分给圣彼得装扮的乞丐，表现出善良和同情心。,1
她与三个小矮人握手道别，带着草莓回家了。,1
老王后精心为女儿准备了丰厚的嫁妆，体现出母爱的深厚。,1
他弹着，一直弹到把他的思想弄得奔腾起来，扩展成为未来的计划：“成名！”,1
神学学生在路途中时不时掏出旅行支票检查。,0
丫环提议用虾虎鱼吓小伙子，让他第一次感到害怕。,-1
仆人们齐心协力，帮助王子完成第二个难题，吃掉三百头牛和喝光三百桶酒。,1
他倒希望这位老爷和他的一家人挨一次痛打呢。,-1
她用花瓣盛着水送给燕子喝，还细心照料它，帮助它恢复体力。,1
公主失去护身符，命运被掌控，处境变得凄惨。,-1
奇妙的金苹果树跟随两只眼来到新家，象征着好运与幸福。,1
从来不笑的人一定心肠很坏。,-1
母亲因害怕小鸟的歌声揭露罪行，陷入极度恐慌和痛苦中。,-1
农夫把盖子略为掀一开，朝里面偷偷地瞧了一下。,0
在下一个星期天，这孩子用一张纸包了一点东西，走到门口。,0
继母用挑剔的任务折磨灰姑娘，不让她参加舞会。,-1
小男孩受到继母虐待，身心备受折磨。,-1
挤奶时被母牛踢倒，昏迷一段时间，经历痛苦。,-1
小鸟在绿枝间跳跃着，唱着欢乐的歌。,1
这是黄昏时节；战场上出现了一道长虹——它挂在森林和那低洼的沼泽地之间。,0
“它给我安慰。”她说。,1
王子屡次受骗，发现假新娘时心生失望。,-1
他虽然呆头呆脑，但力气很大，也很善良。,1
这是一只很滑稽的箱子。,1
月光下，白石子像银币一样闪闪发光，指引着孩子们回家的路。,1
孩子出生后，妻子因产后虚弱不幸离世。,-1
田野和牧场的周围有些大森林，森林里有些很深的池塘。,0
夫妻二人成功逃脱邪恶公主的控制，最终与孩子团圆，幸福美满。,1
少女历经七年追寻，最终在风、太陽和月亮的帮助下解救王子。,1
在仆人们的帮助下，王子成功保护公主，完成第三个难题。,1
老国王巧妙地通过宴会揭示真相，为公主平反。,1
“你应该去领取圣餐！”她说。“你自从受了坚信礼以后，就一直没有去过。”,0
鞋匠因恶行累累，最终被乌鸦啄瞎双眼，流浪至死。,-1
她的牙齿白得放光，她的眼睛非常明亮。,1
他的朋友们，一看到这件作品，就快乐地欢呼起来。,1
国王派出的猎人和猎狗在森林中神秘失踪。,-1
离开自己家里的一个角落远行，真是一件快事。,1
少年顺利渡过湖，开始他的任务。,1
国王一听勃然大怒，下令建造一座高塔，里面一片漆黑，不透丁点光线。,-1
最后他只剩下四个毫子，此外还有一双便鞋和一件旧睡衣。,-1
这一天过去了。小孩子回到家里。一星期又过去了，接着又有许多星期过去了。,0
王子看到了他在教堂前给她的那串项链，“你才是真新娘，”王子说。,1
安妮·莉斯贝走出了这个公馆，来到广阔的大路上。,0
他坐了一整天；他听不见周围发生的一切事情。,-1
重新获得视力后，裁缝恢复信心，再次踏上追寻梦想的道路。,1
船在向下沉。,-1
假公主篡位，真正的新娘被冷落，陷入孤独和屈辱。,-1
渡船船夫听从少年的建议，找到了解脱方法。,1
女人尖声地叫起来，拿着火钳要打他。,-1
国王真心实意地爱上了她，没过多久就娶她为妻。,1
“现在我懂得了。这个想法很对，很正确。,1
巫婆给他们准备了一顿丰盛的晚餐，有牛奶、糖饼和坚果。,1
亨利因主人被变成青蛙，悲痛欲绝，在胸口套上铁箍。,-1
雪下得小了。,0
灰姑娘在舞会上美丽动人，王子专注地与她跳舞。,1
猎人收养了双胞胎兄弟，悉心教导他们，兄弟学成后成为独立的猎人。,1
老国王察觉公主的高贵气质，关注她的处境，体现出关怀。,1
“这简直要把我气死了。”,-1
他非常爱他的妻子，生活过得幸福美满。,1
二王子效仿兄长，同样被困于魔法山峡中。,-1
“谢谢！谢谢！”——也可以说是——“嘎！啪！”这是所有的家具讲的话。,0
她碰上这样的事情，正如许多人碰上这类的事情一样——并没有什么新奇。,0
恶魔要求磨房主做出艰难选择，磨房主不知如何是好。,-1
我在这儿没有一个朋友，没有一个熟识的面孔和我打招呼。,-1
街道遍地泥泞，司法官觉得自己走在沼泽地里。,-1
他是既寒冷，又饥饿。,-1
一天，国王在森林里打猎，看到她坐在树下。,0
小王子帮助多个国家恢复和平与繁荣，赢得百姓的爱戴。,1
不忠实的费迪南妒忌忠实的费迪南，多次设计陷害他。,-1
船搁浅的地方是在尼松湾南边。,0
他希望做比鼓手大一点的事情——他希望成为城里的乐师。,1
老国王误解小王子，试图将他处死，故事进入冲突高潮。,-1
拉斯廷面对恶鬼的攻击，经历了危险和挑战。,-1
“不过，假如你跑到我住的那个地方去，把我的打火匣取来，我可以给你四块钱。”,0
大主教对她说了些恶意的话，终于离去了。,-1
“太陽照在他身上，而且照得很美丽。”,1
鼓手就敲了一阵鼓——一阵快乐的鼓声。,1
渔夫的妻子抱怨小渔舍肮脏难住。,-1
公主最终接受现实，与王子幸福地生活在一起，婚礼盛大且幸福。,1
巨人在比试中失败，暴露其脆弱的一面。,-1
王子为真公主安排盛大婚礼，庆祝新生活的开始。,1
公主在旅途中遭侍女侮辱，感到屈辱和无助。,-1
巫婆残忍地要求求婚者解难题，失败者一律被斩首。,-1
国王组织全国庆典，抛金苹果以庆祝胜利并寻找陌生骑士。,1
于是他走出去了。,0
婚礼庄严壮观而又热闹。,1
“雪山又在崩颓了！”住在下边的人说。,-1
樵夫因无子嗣而感到孤独，与妻子讨论生活中的缺憾。,-1
新郎没有喝掺有安眠药的酒，最终听到公主的呼唤。,1
他离去了，再也没有回来。,-1
两只眼善待以往虐待过自己的姐妹，表现出宽容。,1
坏心肠的女人假装来看王后，趁机加害她。,-1
大王子和二王子因骄傲与粗暴被困于魔法山谷，命运悲惨。,-1
双胞胎通过考验，成为独立猎人，开启旅途。,1
小克劳斯带着这许多钱回到家里，马上叫他的孩子去向大克劳斯借一个斗来。,0
汉斯因骑马摔倒，对马的稳定性感到不满。,-1
她临终的一句话是非常有意义的。她问：“明天有什么戏上演？”,0
旅客们在潮湿的旅馆里忍受恶劣的晚餐和环境。,-1
忠实的费迪南在多次危机中表现出机智和勇敢，展现英雄品质。,1
“他可以和你一起去，永远都不离开你，并且他想要什么就会有什么。”国王说。,1
在春天他看见三棵草莓开花了。,1
当小女儿成为狮子的“祭品”时，商人和家人陷入悲伤。,-1
他取出了他的打火匣，擦了几下火。,0
王子恢复身份，与小女儿结成幸福的婚姻。,1
姐妹们在骑士面前羞辱两只眼，将她藏在桶下。,-1
青蛙把脑袋往水里一扎，就潜入了水潭。,0
公主在经历羞辱和磨练后，痛苦地反思自己的骄傲与过错。,-1
小公主坐在水潭边上玩着金球，成了她最喜爱的游戏。,1
我在她的坟旁唱圣诗，她的坟在什么地方，别的人谁也不知道。,-1
三儿子尽力喂养羊，却因羊的谎言被逐出家门。,-1
渔夫答应比目鱼，将其放回大海。,1
少年帮助老太婆搬草捆和果篮。,1
王子在父亲的允许下开始危险的求婚之旅。,0
“这才是我真正的新娘，”鼓手大声说道，重新与公主相认。,1
他走过宽广的庭院——这儿，在大理石的池子里，有海豚在喷着水，百合在开着花，新鲜的玫瑰花一苞在开放。,1
海水逐渐变得混浊，波涛汹涌，显示出不祥的预兆。,-1
老裁缝听到羊抱怨没吃饱，愤怒地误解并惩罚大儿子。,-1
小裁缝凭机智反击，确保自己的安全，继续当国王。,1
仆人们在执行任务时面临高风险，如冻僵的仆人忍受三天烈火考验。,-1
他们静静地坐着发呆。,0
她的眼睛在碎裂，她的心在碎裂！,-1
在红海岸边，少女帮助王子成功后却因疏忽再次失去他。,-1
王子因无法求婚而病重七年。,-1
雇主慷慨地给了汉斯一块沉重的金子作为报酬。,1
两只眼因饥饿和痛苦在田埂上哭泣。,-1
裁缝在森林中饥肠辘辘，被迫用眼睛换取食物，痛苦不堪。,-1
遵照国王的旨意，他成为小公主亲密的朋友和伴侣。,1
小矮人因胡须被卡在树缝中，焦虑不安，甚至辱骂姐妹。,-1
她走进戏院，在包厢里坐下来。烟从舞台边厢和顶楼上冒出来了，这时立刻起了一阵可怕的骚动。,-1
石楠花开了，又谢了。,0
你终于解除了魔宫的魔法，可以娶我的女儿为妻。,1
“这次再没有人能救你的命了！”王后一见，脸上露出了快意的狞笑。,-1
第三个小矮人说：“我让她不得好死。”,-1
渔夫满足地说：“如今你当了皇帝，这真是太妙啦。”,1
强盗替少年换信，帮助他与公主结婚。,1
小裁缝成功捕捉独角兽并自信地带回给国王。,1
魔宫里突然出现一群恶犬和黑猫，发出可怕的吼叫声。,-1
神学学生望着山脉间的溪流，思索着接下来的行程。,0
街上有一幢很老很老的房子，它几乎有三百年的历史，这一点，人们在它的大梁上就可以看得出来。,0
两个仙女在门口低声交谈。,0
小伯爵被王宫侍卫抓住，误认为犯人。,-1
他们在路上发现了银山、金山，各自找到自己的目标。,1
我坐在柔软的青苔上，紧紧地捏着我的香肠栓。,0
小姑娘把每样东西都指给这个孩子看；接骨木树永远在发出香气。,1
“哎，我现在连一匹马儿也没有了！”小克劳斯说，同时哭起来。,-1
磨房主家突然获得财富，全家充满惊喜。,1
于是甲虫就走到这堆肥沃的泥巴上来。,0
樵夫一家原本缺吃少喝，又赶上物价飞涨。,-1
国王与王后重逢，终得以一家团聚。,1
“你现在不应该再叫拇指姑娘了！”花的安琪儿对她说。“从今以后，我们要把你叫玛娅。”,1
“清洁这种东西特别使我吃不消。”,-1
姐妹俩在河边解救小矮人，避免他被鱼拖入水中。,1
磨坊师傅的二儿子因表现优秀，得到了会吐金币的金驴，充满了喜悦。,1
他双手抱着他的母亲。她吻着他温暖的嘴，哭得像任何人在快乐中哭泣一样。,1
在漫长的冬夜里，女主人同她的女佣人坐在堂屋里织羊一毛一或纺线。,0
小矮人帮助小王子提供关键线索，指引他完成任务。,1
“走开吧，滚开吧！”这是他的简短的送葬辞。,-1
“这世界是多么美丽啊！”,1
“他回来会没有手，没有腿！”妈妈说。,-1
“我的金黄的宝贝，我的财富，我的太陽！”母亲说。,1
他和恶魔比试力气，场面充满危险和紧张。,-1
“咱们怎么办哪！自己都没有一点吃的，又拿什么去养咱们那可怜的孩子啊？”,-1
公主走进了小屋，看到里面有个少年。,0
在这片森林中的一棵老椴树下，有一个水潭，水潭很深。,0
男孩凭借智慧与勇气，在战场上大获全胜，解救国家于危难之中。,1
母亲嫉妒两只眼的幸福，残忍地杀害了羊。,-1
他们欣喜而又爱怜地看着她，生怕将她吵醒了。,1
年轻王后对婚姻不满，计划让父亲将小裁缝流放。,-1
守夜人的尸体被抬进了医院。,-1
小裁缝发怒，狠打苍蝇，造成混乱。,-1
他在复活过程中失败，展示了人类在魔法和超自然领域的局限。,-1
灰姑娘带着王子的爱意，获得新生活。,1
“他在一片白菜叶上渡过了那条沟。”,0
老三进入深林，不断面临饥饿与孤独的挑战。,-1
渔夫担忧地说：“这不应该呀，这实在不应该呀。”,-1
这个小孩子回到家里，一星期又过去了，接着又有许多星期过去了。,0
姐妹们最终因自己的恶行而落得贫困潦倒。,-1
现在我们可以听听他们每人做了些什么事情吧，因为这是一个真实的故事。,0
三儿子学成归来，获得了师傅赠与的神奇棍子。,1
宴会上，真公主以华丽的装束惊艳四座。,1
要是这个孩子是个女孩，我就下令杀掉那十二个男孩。,-1
年轻王后发现小裁缝的真实身份，向父亲抱怨。,-1
守夜人捡起一双套鞋，思索着要如何归还它们。,0
公主启程前，母女依依惜别，展现出家庭的深情。,1
二儿子归家展示金驴时，发现它已不再吐金币，深感受骗。,-1
一个星期以后，她把小妹妹艾丽莎送到一个乡下农人家里去寄住。,0
他看到了金屋国王的女儿画像，心中激动不已。,1
事情摆得很明白的了。,0
国王长期寻妻未果，仍坚持寻找。,0
在这快要到来的年份里，姐姐们一一到达十五岁。,0
一群美丽的金丝鸟在唱着儿时的欢乐歌。,1
老婆婆用神奇力量帮助女孩建成豪华城堡。,1
圣彼得及时出现纠正拉斯廷的错误，挽回局面。,1
后来一天比一天糟。大家都要赶走这只可怜的小鸭。,-1
她前面的人已经在恐怖中无意地把门关上了。,-1
他遇到农夫，用马换得了一头母牛。,0
小王子途中收集宝剑与面包，获得珍贵魔法物品。,1
这株树被放进装满了沙子的大盆里，立在一张宽大的杂色地毯上，装饰着许多美丽的东西。,1
王子承诺向父王征得同意，与女孩定下誓约。,1
女儿被迫接受残忍命运，双手被砍下。,-1
我也隐到红色的朝云后面。,0
老国王病重，自知时日无多，忧虑地召见忠实的约翰。,-1
艾丽莎看到前面有一个多山的国度，浮在空中。,0
小姑娘心中想，我知道，我一定能救活我的哥哥们。,1
牧童们把羊群赶到山坡上。,0
她急忙避开，走进教堂的墓地里去。,-1
忠实的费迪南两次前往宫殿，成功带回公主及重要文件。,1
少年在森林中迷路，险些遇险。,-1
姐妹俩帮助母亲布置小屋，展现出家的温暖与和谐。,1
王子取出了一串珍贵的项链，戴在她的脖子上。,1
商人终于找到玫瑰花，内心欣喜，为最爱的女儿带回特别的礼物。,1
渔夫在宫殿中看到奢华的金宝座和侍从。,0
王后虔诚祈祷，上帝回应她的信仰，赐予她新的双手。,1
继母天天打我们，而且只要我们走到她的跟前，她就用脚把我们踢开。,-1
“它们到什么地方去呢？”枞树问。,0
国王派遣猎人们进入森林，展现其勇敢和探索精神。,1
“你看见那棵大树吗？”巫婆说，指着他们旁边的一棵树。,0
少年的父母因贫穷而被迫卖掉自己的孩子。,-1
渔夫欣喜地发现宫殿已变得宏伟壮观。,1
圣母玛利亚把她带到了天堂，照料她如同亲生母亲。,1
“房内各处都在砰砰着响，门已被冲开。”,-1
姐妹俩与熊玩耍，彼此信任，形成了一段纯真的友情。,1
听到乡下人关于偷猪的警告后，汉斯陷入恐慌。,-1
她看到两个儿子微笑着玩地球仪，内心感到喜悦。,1
沼泽女人停止了酿酒，她在月光下说话。,0
你的一切努力都会付诸东流——他们会因你说了一个字而全部死掉。,-1
他心里一再想起这几句话，不禁笑起来。,1
公主多次呼唤鼓手，试图唤醒他的记忆，但前两晚都以失败告终。,-1
他没有注意到，他的朋友安吉罗就在他的旁边。,0
这树甚至伸到床上来，把帐幔分向两边。,0
三兄弟联手，成功夺回了被偷换的小餐桌和金驴，感到自豪和成就感。,1
王子计划改造姐姐们，让她们学会仁慈。,1
“这真是一场丑恶的梦！”守夜人醒来后说道。,-1
皇帝赐给骗子每人一个爵士的头衔和一枚可以挂在纽扣洞上的勋章。,0
两姐妹与王子兄弟婚后幸福生活，母亲与孩子们平安共处多年，充满了家庭的美好与和睦。,1
拉斯廷从国王那里获得了大量金子，短暂享受富裕生活。,1
国王因裁缝的表现对他心生敬重，赐予他极高的荣誉。,1
拇指姑娘的摇篮是一个光得发亮的漂亮胡桃壳。,1
我们是从一个装着许多旧纸的桶里搜集来的。,0
我痛得直打滚。,-1
她径直向森林走去，走了整整一天，傍晚时来到了小屋。,0
商人为了满足小女儿的心愿，不辞辛劳地寻找玫瑰花，展现了父爱的深沉。,1
男孩在金井边三次失败，最终被铁汉斯要求离开森林。,-1
他扇动翅膀，伸直细长的颈项，从内心里发出一个快乐的声音。,1
她终身幸福，与家人团聚，得到了圣母的祝福。,1
公主被安排去放鹅，与柯德金共同劳动。,0
恶魔的阴谋导致王后和孩子被驱逐出宫。,-1
公主对男孩的金发产生兴趣，多次主动接近他，表现出逐渐的欣赏和好感。,1
小女儿经历魔法解除前的惊险时刻，屋内噪声不断。,-1
在三天的盛大庆典中，男孩连续接住金苹果，展现非凡的实力与魅力。,1
她猛然把门关上，心里害怕极了。,-1
太陽像一堆金子似地升起来，照着这屋子。,1
“这是一种很漂亮的行为。”,1
“你天天在做梦，弄得你的血液都要停滞了。”,-1
她只能住在空心树洞里，靠草根和野果维持生命。,-1
公主帮助鼓手完成难题，每次都温柔地说：“把头放在我的膝上，睡一会儿吧。”,1
他常常对自己说：事情自然会有办法。,1
天使帮助磨房主的女儿，保护她免受恶魔侵害。,1
兔子凭借智慧，帮助猎人从王宫中带回食物，证明公主仍爱着他。,1
公主为迎接心爱之人铺设金光大道，深情等待未婚夫的归来。,1
她是一个古怪的孩子，总是静静地在想什么东西。,0
继母命令女孩拔十二磅羽毛并威胁她。,-1
国王巡视完宫殿各处，只剩下一间未开。,0
熊击倒小矮人，小矮人死亡，为其贪婪与恶行付出了代价。,-1
公主谦卑忍让，即使受到侍女的粗暴对待，仍保持善良。,1
忠诚的法拉达被侍女命令杀害，公主为失去挚友悲痛不已。,-1
小公主害怕这只冷冰冰的青蛙，哭了起来。,-1
茶壶仍然在桌上：但是并没有接骨木树从它里面长出来。,0
忠实的费迪南被迫承担危险试验，几乎丧命。,-1
小王子成功取得生命之水，为父亲带来了康复的希望。,1
强盗头发现信件内容涉及谋杀，对国王感到愤怒。,-1
这真是骇人听闻的话，这真是一个可怕的客人。,-1
老裁缝意识到羊撒谎，错怪了儿子们，内心感到愧疚和孤独。,-1
小裁缝成功智斗巨人，让巨人对他产生敬意。,1
他是一个很漂亮的动物，有细长的腿，聪明的眼睛。,1
如意桌布满足了老三在荒野中的饥饿，带来希望。,1
《圣经》摊开的地方显露出先知约珥的几句话。,0
王子被一个狠毒的巫婆施了魔法，变成了一只青蛙。,-1
他飞走了，买了一件新的睡衣。,0
鼓手在石屋中发现老巫婆的财宝，与公主选择只带宝石离开。,1
他觉得他现在第一次认识了自己，找到了真理和和平的道路。,1
“咳，这儿连一个粪堆都没有。”,-1
小姑娘说道，亲爱的小鹿，别哭了，我永远不会离开你的。,1
她救了王子的生命，把他拖到安全的地方。,1
只有四只耗子站出来说，她们愿意出去。,0
